id;alive;dead;total;prop_alive;rep;worm;bac;infection;conc;bt_conc_ordered;exp;bac2
17;19;4;23;0.83;3;my316;MT12;BT247;100;2_247_100;exp1;MT12 (wrinkly)
17;16;1;17;0.94;2;my316;MT12;BT247;100;2_247_100;exp1;MT12 (wrinkly)
17;21;0;21;1;1;my316;MT12;BT247;100;2_247_100;exp1;MT12 (wrinkly)
25;14;7;21;0.67;2;my316;MT11;BT247;100;2_247_100;exp1;MT11 (ancestral-like, slightly fuzzy)
25;23;3;26;0.88;3;my316;MT11;BT247;100;2_247_100;exp1;MT11 (ancestral-like, slightly fuzzy)
25;22;4;26;0.85;1;my316;MT11;BT247;100;2_247_100;exp1;MT11 (ancestral-like, slightly fuzzy)
28;4;4;8;0.5;2;my316;MT12;BT247;50;3_247_50;exp1;MT12 (wrinkly)
28;8;9;17;0.47;3;my316;MT12;BT247;50;3_247_50;exp1;MT12 (wrinkly)
28;12;6;18;0.67;1;my316;MT12;BT247;50;3_247_50;exp1;MT12 (wrinkly)
30;17;1;18;0.94;3;my316;MT13;BT247;100;2_247_100;exp1;MT13 (ancestral-like, colony size variation)
30;18;0;18;1;1;my316;MT13;BT247;100;2_247_100;exp1;MT13 (ancestral-like, colony size variation)
30;20;0;20;1;2;my316;MT13;BT247;100;2_247_100;exp1;MT13 (ancestral-like, colony size variation)
31;16;7;23;0.7;2;my316;OP50;BT247;100;2_247_100;exp1;OP50
31;35;2;37;0.95;1;my316;OP50;BT247;100;2_247_100;exp1;OP50
31;24;2;26;0.92;1;my316;OP50;BT247;100;2_247_100;exp1;OP50
34;10;8;18;0.56;3;my316;OP50;BT247;50;3_247_50;exp1;OP50
34;31;33;64;0.48;1;my316;OP50;BT247;50;3_247_50;exp1;OP50
34;28;17;45;0.62;2;my316;OP50;BT247;50;3_247_50;exp1;OP50
39;6;7;13;0.46;2;my316;MYb11;BT247;25;4_247_25;exp1;MYb11
39;11;5;16;0.69;3;my316;MYb11;BT247;25;4_247_25;exp1;MYb11
39;8;10;18;0.44;1;my316;MYb11;BT247;25;4_247_25;exp1;MYb11
47;10;7;17;0.59;2;my316;MT12;BT247;25;4_247_25;exp1;MT12 (wrinkly)
47;8;5;13;0.62;1;my316;MT12;BT247;25;4_247_25;exp1;MT12 (wrinkly)
47;4;13;17;0.24;3;my316;MT12;BT247;25;4_247_25;exp1;MT12 (wrinkly)
48;25;0;25;1;2;my316;OP50;BT407;25;1_407_25;exp1;OP50
48;26;0;26;1;1;my316;OP50;BT407;25;1_407_25;exp1;OP50
48;24;0;24;1;3;my316;OP50;BT407;25;1_407_25;exp1;OP50
53;27;0;27;1;1;my316;MT12;BT407;25;1_407_25;exp1;MT12 (wrinkly)
53;35;0;35;1;3;my316;MT12;BT407;25;1_407_25;exp1;MT12 (wrinkly)
53;48;0;48;1;2;my316;MT12;BT407;25;1_407_25;exp1;MT12 (wrinkly)
54;1;25;26;0.04;3;my316;MT11;BT247;25;4_247_25;exp1;MT11 (ancestral-like, slightly fuzzy)
54;6;32;38;0.16;1;my316;MT11;BT247;25;4_247_25;exp1;MT11 (ancestral-like, slightly fuzzy)
54;5;16;21;0.24;2;my316;MT11;BT247;25;4_247_25;exp1;MT11 (ancestral-like, slightly fuzzy)
56;5;12;17;0.29;3;my316;OP50;BT247;25;4_247_25;exp1;OP50
56;7;11;18;0.39;2;my316;OP50;BT247;25;4_247_25;exp1;OP50
56;4;8;12;0.33;1;my316;OP50;BT247;25;4_247_25;exp1;OP50
60;31;0;31;1;3;my316;MT11;BT407;25;1_407_25;exp1;MT11 (ancestral-like, slightly fuzzy)
60;32;0;32;1;2;my316;MT11;BT407;25;1_407_25;exp1;MT11 (ancestral-like, slightly fuzzy)
60;31;0;31;1;1;my316;MT11;BT407;25;1_407_25;exp1;MT11 (ancestral-like, slightly fuzzy)
68;15;6;21;0.71;1;my316;MT13;BT247;25;4_247_25;exp1;MT13 (ancestral-like, colony size variation)
68;13;2;15;0.87;3;my316;MT13;BT247;25;4_247_25;exp1;MT13 (ancestral-like, colony size variation)
68;15;7;22;0.68;2;my316;MT13;BT247;25;4_247_25;exp1;MT13 (ancestral-like, colony size variation)
70;53;0;53;1;2;my316;MT13;BT407;25;1_407_25;exp1;MT13 (ancestral-like, colony size variation)
70;31;0;31;1;3;my316;MT13;BT407;25;1_407_25;exp1;MT13 (ancestral-like, colony size variation)
